year,city,country,avg_temp,7-Years MA,avg_temp_global,7-Years MA g
1808,Damascus,Syria,14.91,,7.63,
1809,Damascus,Syria,17.04,,7.08,
1810,Damascus,Syria,17.09,,6.92,
1811,Damascus,Syria,17.12,,6.86,
1812,Damascus,Syria,17.07,,7.05,
1813,Damascus,Syria,17.62,,7.74,
1814,Damascus,Syria,17.68,16.93285714,7.59,7.267142857
1815,Damascus,Syria,17.42,17.29142857,7.24,7.211428571
1816,Damascus,Syria,16.97,17.28142857,6.94,7.191428571
1817,Damascus,Syria,17.15,17.29,6.98,7.2
1818,Damascus,Syria,17.99,17.41428571,7.83,7.338571429
1819,Damascus,Syria,17.5,17.47571429,7.37,7.384285714
1820,Damascus,Syria,17.67,17.48285714,7.62,7.367142857
1821,Damascus,Syria,17.77,17.49571429,8.09,7.438571429
1822,Damascus,Syria,17.66,17.53,8.19,7.574285714
1823,Damascus,Syria,17.96,17.67142857,7.72,7.685714286
1824,Damascus,Syria,18.75,17.9,8.55,7.91
1825,Damascus,Syria,18.09,17.91428571,8.39,7.99
1826,Damascus,Syria,18.01,17.98714286,8.36,8.131428571
1827,Damascus,Syria,18.88,18.16,8.81,8.301428571
1828,Damascus,Syria,18.08,18.20428571,8.17,8.312857143
1829,Damascus,Syria,18.05,18.26,7.94,8.277142857
1830,Damascus,Syria,18.36,18.31714286,8.52,8.391428571
1831,Damascus,Syria,17.66,18.16142857,7.64,8.261428571
1832,Damascus,Syria,17.08,18.01714286,7.45,8.127142857
1833,Damascus,Syria,17.93,18.00571429,8.01,8.077142857
1834,Damascus,Syria,17.79,17.85,8.15,7.982857143
1835,Damascus,Syria,17.33,17.74285714,7.39,7.871428571
1836,Damascus,Syria,17.77,17.70285714,7.7,7.837142857
1837,Damascus,Syria,17.46,17.57428571,7.38,7.674285714
1838,Damascus,Syria,17.26,17.51714286,7.51,7.655714286
1839,Damascus,Syria,17.53,17.58142857,7.63,7.681428571
1840,Damascus,Syria,17.57,17.53,7.8,7.651428571
1841,Damascus,Syria,18.05,17.56714286,7.69,7.585714286
1842,Damascus,Syria,18.01,17.66428571,8.02,7.675714286
1843,Damascus,Syria,17.95,17.69,8.17,7.742857143
1844,Damascus,Syria,17.81,17.74,7.65,7.781428571
1845,Damascus,Syria,18.02,17.84857143,7.85,7.83
1846,Damascus,Syria,18.69,18.01428571,8.55,7.961428571
1847,Damascus,Syria,18.22,18.10714286,8.09,8.002857143
1848,Damascus,Syria,18.12,18.11714286,7.98,8.044285714
1849,Damascus,Syria,18.14,18.13571429,7.98,8.038571429
1850,Damascus,Syria,17.56,18.08,7.9,8
1851,Damascus,Syria,18.46,18.17285714,8.18,8.075714286
1852,Damascus,Syria,18.24,18.20428571,8.1,8.111428571
1853,Damascus,Syria,18.75,18.21285714,8.04,8.038571429
1854,Damascus,Syria,17.79,18.15142857,8.21,8.055714286
1855,Damascus,Syria,18.21,18.16428571,8.11,8.074285714
1856,Damascus,Syria,17.71,18.10285714,8,8.077142857
1857,Damascus,Syria,17.38,18.07714286,7.76,8.057142857
1858,Damascus,Syria,18.03,18.01571429,8.1,8.045714286
1859,Damascus,Syria,18.2,18.01,8.25,8.067142857
1860,Damascus,Syria,18.59,17.98714286,7.96,8.055714286
1861,Damascus,Syria,17.03,17.87857143,7.85,8.004285714
1862,Damascus,Syria,17,17.70571429,7.56,7.925714286
1863,Damascus,Syria,17.55,17.68285714,8.11,7.941428571
1864,Damascus,Syria,18.32,17.81714286,7.98,7.972857143
1865,Damascus,Syria,18.66,17.90714286,8.18,7.984285714
1866,Damascus,Syria,18.48,17.94714286,8.29,7.99
1867,Damascus,Syria,18.49,17.93285714,8.44,8.058571429
1868,Damascus,Syria,18.02,18.07428571,8.25,8.115714286
1869,Damascus,Syria,18.65,18.31,8.43,8.24
1870,Damascus,Syria,18.37,18.42714286,8.2,8.252857143
1871,Damascus,Syria,17.6,18.32428571,8.12,8.272857143
1872,Damascus,Syria,18.38,18.28428571,8.19,8.274285714
1873,Damascus,Syria,18.73,18.32,8.35,8.282857143
1874,Damascus,Syria,17.92,18.23857143,8.43,8.281428571
1875,Damascus,Syria,16.97,18.08857143,7.86,8.225714286
1876,Damascus,Syria,18.46,18.06142857,8.08,8.175714286
1877,Damascus,Syria,18.87,18.13285714,8.54,8.224285714
1878,Damascus,Syria,18.76,18.29857143,8.83,8.325714286
1879,Damascus,Syria,19.05,18.39428571,8.17,8.322857143
1880,Damascus,Syria,17.82,18.26428571,8.12,8.29
1881,Damascus,Syria,18.42,18.33571429,8.27,8.267142857
1882,Damascus,Syria,17.66,18.43428571,8.13,8.305714286
1883,Damascus,Syria,18.15,18.39,7.98,8.291428571
1884,Damascus,Syria,17.67,18.21857143,7.77,8.181428571
1885,Damascus,Syria,18.56,18.19,7.92,8.051428571
1886,Damascus,Syria,17.89,18.02428571,7.95,8.02
1887,Damascus,Syria,18.48,18.11857143,7.91,7.99
1888,Damascus,Syria,18.4,18.11571429,8.09,7.964285714
1889,Damascus,Syria,18.59,18.24857143,8.32,7.991428571
1890,Damascus,Syria,18.4,18.28428571,7.97,7.99
1891,Damascus,Syria,18.34,18.38,8.02,8.025714286
1892,Damascus,Syria,18.6,18.38571429,8.07,8.047142857
1893,Damascus,Syria,17.91,18.38857143,8.06,8.062857143
1894,Damascus,Syria,17.55,18.25571429,8.16,8.098571429
1895,Damascus,Syria,17.99,18.19714286,8.15,8.107142857
1896,Damascus,Syria,18.18,18.13857143,8.21,8.091428571
1897,Damascus,Syria,17.53,18.01428571,8.29,8.137142857
1898,Damascus,Syria,18.11,17.98142857,8.18,8.16
1899,Damascus,Syria,18.26,17.93285714,8.4,8.207142857
1900,Damascus,Syria,18.62,18.03428571,8.5,8.27
1901,Damascus,Syria,19.08,18.25285714,8.54,8.324285714
1902,Damascus,Syria,18.7,18.35428571,8.3,8.345714286
1903,Damascus,Syria,17.93,18.31857143,8.22,8.347142857
1904,Damascus,Syria,17.92,18.37428571,8.09,8.318571429
1905,Damascus,Syria,17.91,18.34571429,8.23,8.325714286
1906,Damascus,Syria,18.19,18.33571429,8.38,8.322857143
1907,Damascus,Syria,17.52,18.17857143,7.95,8.244285714
1908,Damascus,Syria,17.66,17.97571429,8.19,8.194285714
1909,Damascus,Syria,18.72,17.97857143,8.18,8.177142857
1910,Damascus,Syria,17.81,17.96142857,8.22,8.177142857
1911,Damascus,Syria,17.41,17.88857143,8.18,8.19
1912,Damascus,Syria,18.09,17.91428571,8.17,8.181428571
1913,Damascus,Syria,17.65,17.83714286,8.3,8.17
1914,Damascus,Syria,17.8,17.87714286,8.59,8.261428571
1915,Damascus,Syria,18.46,17.99142857,8.59,8.318571429
1916,Damascus,Syria,18.68,17.98571429,8.23,8.325714286
1917,Damascus,Syria,18.52,18.08714286,8.02,8.297142857
1918,Damascus,Syria,18.11,18.18714286,8.13,8.29
1919,Damascus,Syria,18.44,18.23714286,8.38,8.32
1920,Damascus,Syria,17.67,18.24,8.36,8.328571429
1921,Damascus,Syria,17.74,18.23142857,8.57,8.325714286
1922,Damascus,Syria,18.64,18.25714286,8.41,8.3
1923,Damascus,Syria,18.76,18.26857143,8.42,8.327142857
1924,Damascus,Syria,18.57,18.27571429,8.51,8.397142857
1925,Damascus,Syria,18.52,18.33428571,8.53,8.454285714
1926,Damascus,Syria,18.52,18.34571429,8.73,8.504285714
1927,Damascus,Syria,18.73,18.49714286,8.52,8.527142857
1928,Damascus,Syria,18.94,18.66857143,8.63,8.535714286
1929,Damascus,Syria,18.44,18.64,8.24,8.511428571
1930,Damascus,Syria,18.98,18.67142857,8.63,8.541428571
1931,Damascus,Syria,18.68,18.68714286,8.72,8.571428571
1932,Damascus,Syria,18.56,18.69285714,8.71,8.597142857
1933,Damascus,Syria,18.05,18.62571429,8.34,8.541428571
1934,Damascus,Syria,18.69,18.62,8.63,8.557142857
1935,Damascus,Syria,19.14,18.64857143,8.52,8.541428571
1936,Damascus,Syria,18.93,18.71857143,8.55,8.585714286
1937,Damascus,Syria,19.13,18.74,8.7,8.595714286
1938,Damascus,Syria,18.26,18.68,8.86,8.615714286
1939,Damascus,Syria,18.95,18.73571429,8.76,8.622857143
1940,Damascus,Syria,18.79,18.84142857,8.76,8.682857143
1941,Damascus,Syria,19.06,18.89428571,8.77,8.702857143
1942,Damascus,Syria,18.64,18.82285714,8.73,8.732857143
1943,Damascus,Syria,18.26,18.72714286,8.76,8.762857143
1944,Damascus,Syria,18.47,18.63285714,8.85,8.784285714
1945,Damascus,Syria,18.13,18.61428571,8.58,8.744285714
1946,Damascus,Syria,18.75,18.58571429,8.68,8.732857143
1947,Damascus,Syria,19.44,18.67857143,8.8,8.738571429
1948,Damascus,Syria,18,18.52714286,8.75,8.735714286
1949,Damascus,Syria,17.7,18.39285714,8.59,8.715714286
1950,Damascus,Syria,18.5,18.42714286,8.37,8.66
1951,Damascus,Syria,18.95,18.49571429,8.63,8.628571429
1952,Damascus,Syria,19.06,18.62857143,8.64,8.637142857
1953,Damascus,Syria,17.95,18.51428571,8.87,8.664285714
1954,Damascus,Syria,18.81,18.42428571,8.56,8.63
1955,Damascus,Syria,19.35,18.61714286,8.63,8.612857143
1956,Damascus,Syria,18.53,18.73571429,8.28,8.568571429
1957,Damascus,Syria,18.58,18.74714286,8.73,8.62
1958,Damascus,Syria,19.04,18.76,8.77,8.64
1959,Damascus,Syria,17.99,18.60714286,8.73,8.652857143
1960,Damascus,Syria,19.59,18.84142857,8.58,8.611428571
1961,Damascus,Syria,18.41,18.78428571,8.8,8.645714286
1962,Damascus,Syria,19.52,18.80857143,8.75,8.662857143
1963,Damascus,Syria,19.33,18.92285714,8.86,8.745714286
1964,Damascus,Syria,18.05,18.84714286,8.41,8.7
1965,Damascus,Syria,18.69,18.79714286,8.53,8.665714286
1966,Damascus,Syria,19.26,18.97857143,8.6,8.647142857
1967,Damascus,Syria,17.8,18.72285714,8.7,8.664285714
1968,Damascus,Syria,18.78,18.77571429,8.52,8.624285714
1969,Damascus,Syria,19.01,18.70285714,8.6,8.602857143
1970,Damascus,Syria,18.88,18.63857143,8.7,8.58
1971,Damascus,Syria,18.35,18.68142857,8.6,8.607142857
1972,Damascus,Syria,18.18,18.60857143,8.5,8.602857143
1973,Damascus,Syria,18.52,18.50285714,8.95,8.652857143
1974,Damascus,Syria,18.45,18.59571429,8.47,8.62
1975,Damascus,Syria,18.39,18.54,8.74,8.651428571
1976,Damascus,Syria,18.24,18.43,8.35,8.615714286
1977,Damascus,Syria,18.61,18.39142857,8.85,8.637142857
1978,Damascus,Syria,18.9,18.47,8.69,8.65
1979,Damascus,Syria,19.33,18.63428571,8.73,8.682857143
1980,Damascus,Syria,18.65,18.65285714,8.98,8.687142857
1981,Damascus,Syria,18.8,18.70285714,9.17,8.787142857
1982,Damascus,Syria,18.12,18.66428571,8.64,8.772857143
1983,Damascus,Syria,17.99,18.62857143,9.03,8.87
1984,Damascus,Syria,18.49,18.61142857,8.69,8.847142857
